S. No.,Name of State / UT,Total Population (Projected 2020)
1,Andaman and Nicobar Islands,"4,17,036"
2,Andhra Pradesh,53903393
3,Arunachal Pradesh,1570458
4,Assam,35607039
5,Bihar,124799926
6,Chandigarh,1158473
7,Chhattisgarh,29436231
8,Delhi,18710922
9,Goa,1586250
10,Gujarat,63872399
11,Haryana,28204692
12,Himachal Pradesh,7451955
13,Jammu and Kashmir,"1,36,06,320"
14,Jharkhand,38593948
15,Karnataka,67562686
16,Kerala,35699443
17,Ladakh,289023
18,Madhya Pradesh,85358965
19,Maharashtra,123144223
20,Manipur,3091545
21,Meghalaya,3366710
22,Mizoram,1239244
23,Nagaland,2249695
24,Odisha,46356334
25,Puducherry,1413542
26,Punjab,30141373
27,Rajasthan,81032689
28,Tamil Nadu,77841267
29,Telangana,38510982
30,Tripura,4169794
31,Uttarakhand,11250858
32,Uttar Pradesh,237882725
33,West Bengal,99609303
34,Sikkim,690251
35,Lakshadweep,73183
36,Dadra and Nagar Haveli,"6,15,724"
